MSG, ID, DLC, Signal, Start, Length, Endianess, Scaling, Offset, Minimum, Maximum, Signed, Units, Multiplexed, Floating,
BattRgenLo_4, 868, 8, BattRgenLo_T_Est, 7, 8, motorola, 8, 0, 0, 2040, false, second, N/A, no, 
BattRgenLo_4, 868, 8, BattRgenLoPulse_U_Pred, 15, 8, motorola, 0.0625, 0, 0, 15.9375, false, volt, N/A, no, 
BattRgenLo_4, 868, 8, BattRgenLo_B_Falt, 16, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
BattRgenLo_4, 868, 8, BattRgenLoSoc_Pc_Actl, 23, 7, motorola, 1, 0, 0, 100, false, percent, N/A, no, 
BattRgenLo_4, 868, 8, BattRgenLoStat_D_Qlty, 25, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BattRgenLo_4, 868, 8, BattRgenLoDChrg_D_Stat, 27, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BattRgenLo_4, 868, 8, BattRgenLoDchrg_B_Rq, 28, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
BattRgenLo_4, 868, 8, BattRgenLoChrg_D_Stat, 30, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
BattRgenLo_4, 868, 8, BattRgenLoChrg_B_Rq, 31, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
BattRgenLo_4, 868, 8, BattRgenLoPrtct_B_Stat, 39, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
BattRgenLo_3, 867, 8, BattRgenLo_Ah_Actl, 7, 8, motorola, 0.1, 0, 0, 25.5, false, amperehour, N/A, no, 
BattRgenLo_3, 867, 8, BattRgenLo_AhRide_Actl, 15, 15, motorola, 0.0078125, -100, -100, 155.992, false, amperehour, N/A, no, 
BattRgenLo_3, 867, 8, BattRgenLoBalnc_B_Rq, 16, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
BattRgenLo_3, 867, 8, BattRgenLo_R_Actl, 31, 9, motorola, 0.0625, 0, 0, 31.9375, false, milliohm, N/A, no, 
BattRgenLo_3, 867, 8, BattRgenLo_Te_Actl, 47, 8, motorola, 1, -60, -60, 194, false, degC, N/A, no, 
BattRgenLo_3, 867, 8, BattRgenLo_Te_Hi, 55, 8, motorola, 1, -20, -20, 235, false, degC, N/A, no, 
BattRgenLo_2, 866, 8, BattRgenLoChrg_I_Mx, 7, 8, motorola, 2, 0, 0, 510, false, ampere, N/A, no, 
BattRgenLo_2, 866, 8, BattRgenLoChrg_U_Mx, 15, 9, motorola, 0.025, 10.6, 10.6, 23.375, false, volt, N/A, no, 
BattRgenLo_2, 866, 8, BattRgenLoDchrg_I_Mx, 31, 8, motorola, 2, 0, 0, 510, false, ampere, N/A, no, 
BattRgenLo_2, 866, 8, BattRgenLoDchrg_U_Mn, 39, 9, motorola, 0.025, 4, 4, 16.775, false, volt, N/A, no, 
BattRgenLo_2, 866, 8, BattRgenLoOpen_U_Actl, 55, 9, motorola, 0.025, 8.5, 8.5, 21.275, false, volt, N/A, no, 
BatteryCharge_Data4, 751, 8, ChrgrAcIn_I_Mn, 7, 8, motorola, 1, 0, 0, 255, false, ampere, N/A, no, 
BatteryCharge_Data4, 751, 8, ChrgrAcIn_I_Mx, 15, 8, motorola, 1, 0, 0, 255, false, ampere, N/A, no, 
BatteryCharge_Data4, 751, 8, ChrgrAcIn_U_Mx, 23, 9, motorola, 1, 0, 0, 511, false, volt, N/A, no, 
BattRgenLo_1, 865, 8, BattRgenLo_I_Actl, 7, 16, motorola, 0.015625, -512, -512, 511.969, false, ampere, N/A, no, 
BattRgenLo_1, 865, 8, BattRgenLo_U_Actl, 23, 11, motorola, 0.015625, 0, 0, 31.9688, false, volt, N/A, no, 
AlternateFuelData, 356, 8, AltFuelFlw_Vl_Dsply, 1, 10, motorola, 25, 0, 0, 25575, false, micro_litre, N/A, no, 
AlternateFuelData, 356, 8, AltFuelOpMde_D_Stat, 4, 3, motorola, 1, 0, 0, 7, false, SED, N/A, no, 
AlternateFuelData, 356, 8, AltFuelLvl_D_Stat, 5, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
AlternateFuelData, 356, 8, AltFuelFalt_D_Stat, 7, 2, motorola, 1, 0, 0, 3, false, SED, N/A, no, 
AlternateFuelData, 356, 8, AltFuelPLvl_Pc_Actl, 23, 8, motorola, 0.471, 0, 0, 120.105, false, percent, N/A, no, 
AlternateFuelData, 356, 8, AltFuelLvlWarn_D_Actl, 30, 3, motorola, 1, 0, 0, 7, false, SED, N/A, no, 
AlternateFuelData, 356, 8, AltFuelMde_B_RqDrv, 31, 1, motorola, 1, 0, 0, 1, false, SED, N/A, no, 
AlternateFuelData, 356, 8, AltFuelRnge_L_DsplyEng, 39, 14, motorola, 0.1, 0, 0, 1638.3, false, kilometer, N/A, no, 
TesterPhysicalReqAFCM, 2021, 8, TesterPhysicalReqAFCM, 7, 64, motorola, 1, 0, 0, 1.84467e+19, false, unitless, N/A, no, 
